SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-9-2022,Single Family Residential,6742 Albyn Ct,Newark,CA,94560,900000,3,2.0,Newark,1140,5200,1958,,789,,Sold,,,https://www.redfin.com/CA/Newark/6742-Albyn-Ct-94560/home/1283239,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40992189,N,Y,37.5298425,-122.0320025
PAST SALE,,Condo/Co-op,204 Hackamore Cmn #88,Fremont,CA,94539,653000,2,1.0,,878,,1984,,744,,,,,https://www.redfin.com/CA/Fremont/204-Hackamore-Cmn-94539/unit-88/home/1114362,,,N,Y,37.486049,-121.925097
PAST SALE,September-2-2022,Single Family Residential,1639 10Th St,Berkeley,CA,94710,1725000,3,2.0,Berkeley,1128,5031,1924,,1529,,Sold,,,https://www.redfin.com/CA/Berkeley/1639-Tenth-St-94710/home/1953843,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41006256,N,Y,37.8738258,-122.2946509
PAST SALE,June-13-2022,Single Family Residential,722 Gleneagle Ave,Hayward,CA,94544,1225000,6,3.0,HAYWARD,2196,6156,1959,,558,,Sold,,,https://www.redfin.com/CA/Hayward/722-Gleneagle-Ave-94544/home/817315,MLSListings,ML81890850,N,Y,37.628606,-122.0401061
PAST SALE,June-28-2022,Single Family Residential,505 Evelyn Ave,Albany,CA,94706-1313,1700000,3,2.0,Albany,1293,5000,1945,,1315,,Sold,,,https://www.redfin.com/CA/Albany/505-Evelyn-Ave-94706/home/1192415,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40994495,N,Y,37.8971786,-122.2963785
PAST SALE,June-7-2022,Condo/Co-op,535 Pierce St #3313,Albany,CA,94706,600000,2,2.0,Albany,1170,332752,1988,,513,689,Sold,,,https://www.redfin.com/CA/Albany/535-Pierce-St-94706/unit-3313/home/1893411,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40983849,N,Y,37.8968751,-122.3078063
PAST SALE,June-10-2022,Single Family Residential,3584 Siskiyou Ct,Hayward,CA,94542,1170000,3,2.0,Hayward,1693,8190,1973,,691,,Sold,,,https://www.redfin.com/CA/Hayward/3584-Siskiyou-Ct-94542/home/1955986,CRMLS,IG22078390,N,Y,37.6524143,-122.0280947
PAST SALE,,Single Family Residential,36727 Magnolia St,Newark,CA,94560,750000,3,1.0,,1022,7500,1948,,734,,,,,https://www.redfin.com/CA/Newark/36727-Magnolia-St-94560/home/847336,,,N,Y,37.5319308,-122.0400839
PAST SALE,June-10-2022,Single Family Residential,19125 Lake Chabot Rd,Castro Valley,CA,94546,1175000,4,3.0,Lake Chabot,1680,10155,1950,,699,,Sold,,,https://www.redfin.com/CA/Castro-Valley/19125-Lake-Chabot-Rd-94546/home/821708,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40988671,N,Y,37.7067332,-122.0905392
PAST SALE,June-23-2022,Condo/Co-op,555 Pierce St #1039,Albany,CA,94706,439000,1,1.0,Bridgewater,745,,1977,,589,578,Sold,,,https://www.redfin.com/CA/Albany/555-Pierce-St-94706/unit-1039/home/529392,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40991345,N,Y,37.895398,-122.307558
